,angle,c_hue,c_sat,c_val,ellipse_area,height,pos_x,pos_y,width
1083,119.36053466796875,119.22222222222223,94.3015873015873,139.11111111111111,124.19847745870713,0.0014899346136277721,0.14239321800970262,0.4506772145917339,0.0006902649325709189
1084,133.2992401123047,46.30612244897959,83.20408163265306,119.9795918367347,103.85275406535199,0.0011000188704459897,0.9439286164314517,0.45047449911794357,0.0007817801352470152
1085,148.40879821777344,23.166666666666668,156.4047619047619,132.73809523809524,87.59799685760422,0.0010298886606770177,0.8702327998991936,0.4499526682207661,0.0007043210152656802
1086,44.99994659423828,110.625,140.4375,194.5,34.04965139870285,0.0005805712361489573,0.31813391900831656,0.4492854161416331,0.000485650570161881
1087,179.34658813476562,76.93636363636364,78.56363636363636,149.9909090909091,263.75171196390926,0.0015055427243632655,0.6463319446194556,0.44932877079133066,0.0014506710729291362
1088,149.74412536621094,54.91860465116279,104.70930232558139,130.57790697674417,5511.89386935531,0.01078810538015058,0.7059422253024193,0.451096427671371,0.0042307992135324785
1089,37.15509796142578,117.64285714285714,96.14285714285714,156.55357142857142,126.02143352848177,0.001297750473022461,0.03917784906202747,0.447030265561996,0.0008041183410152312
1090,51.65584182739258,78.00694444444444,66.69444444444444,129.5625,394.53237059800546,0.002050736335016066,0.29955050560735885,0.44710090883316533,0.0015930872578774728
1091,50.881591796875,127.93,68.56,168.28,251.918070366399,0.0016482853120373142,0.4236253307711694,0.4466658659904234,0.0012655918828902706
1092,172.06813049316406,101.75,92.33333333333333,139.41666666666666,27.523223254539175,0.0006068028942231209,0.8117847467237903,0.44554065335181453,0.00037559378531671337
1093,95.63096618652344,21.703703703703702,141.88148148148147,148.98518518518517,619.6516068472883,0.003925437619609218,0.46987336189516127,0.4457933782762097,0.0013071524712347216
1094,0.0,98.16,79.08,117.0,41.88790336671807,0.0005889489958363195,0.997741935483871,0.445,0.0005889489958363195
1095,0.0,104.33333333333333,111.66666666666667,144.22222222222223,16.94293325735197,0.0003774942505744196,0.33,0.44406509891633067,0.00037165930194239463
1096,135.00001525878906,99.34693877551021,62.83673469387755,140.0612244897959,119.08335155830176,0.0011583838924284905,0.8293779926915322,0.4440090647051411,0.0008512659995786605
1097,7.631012916564941,52.238461538461536,82.73846153846154,162.25384615384615,380.432318931823,0.002065591504496913,0.0095796997316422,0.44370404643397177,0.0015251048918693297
1098,90.0,108.96,121.16,164.36,50.54694375126791,0.0006570144622556625,0.2830645161290323,0.4413336378528226,0.0006370693637478736
1099,159.6018829345703,19.489203276247206,230.22740134028294,179.066269545793,19206.664117313336,0.013133468627929688,0.771642830141129,0.4467146547379032,0.012109863527359502
1100,161.67897033691406,17.3,104.7,126.35,43.866252630907795,0.0007336800329146847,0.4478436476184476,0.440482177734375,0.0004950973295396374
1101,163.48397827148438,20.833333333333332,242.83333333333334,141.33333333333334,22.13630366664093,0.00053599561414411,0.2109752433530746,0.44041748046875,0.0003419878021363289
1102,167.84596252441406,93.32539682539682,60.82539682539682,155.32539682539684,319.11365943783346,0.002131396416694887,0.8078680223034275,0.44072911416330646,0.0012397893782584899
1103,39.689395904541016,114.9090909090909,89.03030303030303,156.8181818181818,297.73853198634595,0.0020888162428332915,0.25676281344506047,0.4402911180065524,0.0011803248620802357
1104,116.3896713256836,59.65896739130435,96.53804347826087,118.48097826086956,1706.5087926518595,0.005246078122046686,0.46138628559727823,0.4405337622857863,0.002693646031041299
1105,137.83766174316406,74.25711662075298,95.58585858585859,145.0477502295684,2865.401825445517,0.005322232400217364,0.4502095671622984,0.44165444650957664,0.004458188702983241
1106,57.99051284790039,61.278195488721806,101.12406015037594,99.78571428571429,458.731720893424,0.0034654045104980467,0.0017040203463646673,0.43986871534778227,0.0010961540283695344
1107,80.48726654052734,119.28571428571429,56.857142857142854,183.78571428571428,445.89278075373284,0.002026692513496645,0.6709052104334677,0.4391043189264113,0.0018218361946844286
1108,9.670738220214844,111.27777777777777,105.75555555555556,196.13333333333333,240.63240295657891,0.001505237087126701,0.30288213914440526,0.43879209456905244,0.001323780398215017
1109,65.84476470947266,85.73333333333333,69.6,139.4,60.698022521749174,0.0008026665256869409,0.03650823531612273,0.43840237525201614,0.000626190016346593
1110,64.58592987060547,100.14393939393939,62.04545454545455,173.06060606060606,332.9941606312375,0.0017996148140199722,0.2823317398563508,0.4385565776209677,0.001532229454286637
1111,158.4578094482422,30.353535353535353,138.31313131313132,150.85858585858585,257.5153006164271,0.0017071120969710811,0.943437263734879,0.43694343813004033,0.0012491303105508127
1112,169.32693481445312,136.53125,82.96875,131.96875,70.21216021234534,0.0011828540217491887,0.6131485871345767,0.43663763230846775,0.000491527626591344
1113,103.82831573486328,137.25,81.375,129.70833333333334,47.77193379793687,0.0008164595019432806,0.0922393798828125,0.43618644468245965,0.00048451242908354727
1114,7.931454658508301,105.0,106.08333333333333,141.58333333333334,27.52330710346682,0.0006068060475011025,0.407086181640625,0.4355406533518145,0.0003755929777699132
1115,84.83460235595703,109.53030303030303,99.51515151515152,158.43939393939394,155.13602309087455,0.0015678153499480217,0.5004014931955645,0.43526146673387095,0.0008193783606252362
1116,151.42379760742188,110.0,133.75,166.65,43.159195872687896,0.000761725825648154,0.3781630386844758,0.43496861611643145,0.0004691820759927073
1117,37.41516876220703,99.71428571428571,68.55102040816327,174.48979591836735,119.98522284160359,0.001023905969435169,0.27177994266633065,0.4346689138104839,0.0009703634631249212
1118,0.0,108.44444444444444,117.88888888888889,155.44444444444446,16.94293325735197,0.0003774942505744196,0.38,0.43374251827116933,0.00037165930194239463
1119,158.868896484375,110.3875,74.0375,168.175,200.2162794918901,0.00155645324337867,0.4490930963331653,0.4337646484375,0.0010651972986036732
1120,117.8585433959961,102.93676814988291,98.88290398126463,150.1820006691201,7687.382789896052,0.009754366720876387,0.08758421867124495,0.4374167952998992,0.006525986579156691
1121,106.11328125,22.2,148.96666666666667,157.2,70.59871644208783,0.000862912824076991,0.08607237785093245,0.4383716214087702,0.0006774802361765215
1122,90.0,9.5,130.85,149.1,43.33981739567254,0.0006852824457230106,0.085,0.4383064516129032,0.0005237019831134427
1123,139.42611694335938,103.10331632653062,80.24744897959184,149.51020408163265,6185.779229250833,0.007770120559200164,0.6944679309475806,0.43578668409778226,0.006592246024839339
